Document_id,Cleaned data,,Sentiment,
,Review 168,"The action in this movie is great, and I loved how much of it flowed and accomplished what I was expecting of the film, and things I was not expecting.",,positive
,Review 169,"the fights at the end needed some more time for me, and perhaps a little more bouncing between the battles occurring at the same time.",,neutral
,Review 170, The battle is lengthy enough,,negative
,Review 171,Shang Chi finally made me feel like we were back into the realm of Marvel I fell in love with years ago,,positive
,Review 172,"Buried beneath the amazing fights and special effects, was a deeper movie than I had expected, using their characters well and integrating them to serve a purpose",,positive
,Review 173,Balanced comedy with a cultural inclusion and politics did not steal away from the main theme of the movie,,positive
,Review 174,Shang-Chi and the Legend of the Ten Rings is the most mystical and beautiful movie in history,,positive
,Review 175," The music, the special effects and the acting all take you to another world. The film leaves you wanting a Morris of your own.",,positive
,Review 176,This movie is a cinematic experience.,,positive
,Review 177,The fighting and choreography are out of this world. The long slow motion shots make the audience feel as if they are in a video game.,,positive
,Review 178,every fight scene is flawless with his fluid movements and it proves just how hard he worked on his character for this film.,,positive
,Review 179," Every audience falls in love with Shang-Chi; he's funny, with perfect comedic timing and he knows the balance between peace and violence",,positive
,Review 180,"It has wonderful flashbacks, which give the audience glimpses of his past, his pain and how his fears have shaped who he is.",,positive
,Review 181,The film gives a wonderful all-around scope of this character that feels like a friend we've known all our life.,,positive
,Review 182,It makes fans excited to see Shang-Chi again. Shang and his sister Xu Xialing are an iconic duo.,,positive
,Review 183,"Trying not to shout during the two post credits scenes prove to be a challenge. By the end of the movie, I wanted to sing the song ""Hotel California"" at the top of my lungs.",,positive
,Review 184,"Honestly, on all levels this movie excels",,positive
,Review 185," The trailers may have you thinking this is a modern martial arts film, and in a sense they would be right",,positive
,Review 186,Wonderful action packed fantasy adventure is brilliantly bought to life by a great cast and some great action sequences including some staggeringly beautiful fantasy scenes.,,positive
,Review 187,The CGI and location shoots are breathtaking. ,,positive
,Review 188,The fighting is the best I've ever seen and even the training ground sequences have an exquisite grace,,positive
,Review 189, the storytelling was choppy,,negative
,Review 190," The casting is perfect. The world building is creative, beautiful and faithful to its Asian roots",,positive
,Review 191,"Well what a pleasant surprise, very much in the style of Black Panther, this origin story was really great from start to finish",,positive
,Review 192,"We had some great acting some great humour and plenty of ""magic"", for Marvel fans after the lacklustre Black Widow, the disaster of the Winter Soldie",,positive
,Review 193,"I saw this at the 3D 4DX at the O2 and we were thrown about, blown on, rained on and every other sensation at every turn it was fab-u-lus!",,positive
,Review 194,The fight scenes we well worked through and the opening bus sequence was very memorable,,positive
,Review 195,I don't thing there was anything I didn't like about this movie ,,positive
,Review 196,Shang Chi is Marvel's latest blockbuster to grace the movies,,positive
,Review 197,it's going big and it won't stop with every subsequent film here onward.,,positive
,Review 198,Though bigger and better seems better fitted for high-concept space operas like Infinity War and Endgame than more earthbound character-driven stories.,,positive
,Review 199,"Shang Chi's good fun, and it really succeeds in being that during its runtime",,positive
,Review 200,There are scenes of dialogue that gave me goosebumps. ,,positive
,Review 201," i have this thing where i get goosebumps and start tearing up, not from an emotional moment, but from a scene being so incredible, especially action scenes.",,positive
,Review 202,The special effects are awesome both in terms of the action scenes and backdrops.,,positive
,Review 203,every fight scene is flawless with his fluid movements and it proves just how hard he worked on his character for this film.,,positive
,Review 204,Shang-Chi and the Legend of the Ten Rings is the most mystical and beautiful movie in history,,positive
,Review 205,"A great part played by all members on this film, extras included, Shang Chi's cast shows that acting is not dead and characters can be utilized well",,positive
,Review 206, I enjoyed this introduction to a new MCU superhero,,positive
,Review 207," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 208,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 209,We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie,,positive
,Review 210,It has plenty of exposition scenes and fits so much in that it distracts from the main thing that makes this film great,,positive
,Review 211," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 212,The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography.,,positive
,Review 213,We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie,,positive
,Review 214, I enjoyed this introduction to a new MCU superhero,,positive
,Review 215,It has plenty of exposition scenes and fits so much in that it distracts from the main thing that makes this film great,,positive
,Review 216,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 217,The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography.,,positive
,Review 218,Shang-Chi and the Legend of the Ten Rings is the most mystical and beautiful movie in history,,positive
,Review 219,"A great part played by all members on this film, extras included, Shang Chi's cast shows that acting is not dead and characters can be utilized well",,positive
,Review 220,Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.,,positive
,Review 221," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 222,The humour and tone of these characters was great.,,positive
,Review 223,"Honestly, on all levels this movie excels",,positive
,Review 224,"A great part played by all members on this film, extras included, Shang Chi's cast shows that acting is not dead and characters can be utilized well",,positive
,Review 225," I loved all the characters, i loved all the casting choices, i loved the performances. ",,positive
,Review 226,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 227,I loved how well their lines mixed together to make this melodramatic family story fit naturally into the Marvel universe.,,positive
,Review 228,"Honestly, on all levels this movie excels",,positive
,Review 229,The special effects are excellent,,positive
,Review 230,We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie,,positive
,Review 231,Shan Chi and the bunch have plenty of amazing things to overuse the computer effects that the modern era loves.,,positive
,Review 232,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 233,"The production standards are typically high, with plenty of cute and dangerous beasties to suit and please all ages",,positive
,Review 234,It truly is a unique film to have a mostly all-Asian cast in a superhero movie.,,positive
,Review 235,"A great part played by all members on this film, extras included, Shang Chi's cast shows that acting is not dead and characters can be utilized well",,positive
,Review 236,"It features impressive visuals, engaging action scenes, and entertaining characters.",,positive
,Review 237," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 238,We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie,,positive
,Review 239, I enjoyed this introduction to a new MCU superhero,,positive
,Review 240,Shang-Chi and the Legend of the Ten Rings is the most mystical and beautiful movie in history,,positive
,Review 241,"movie has unique choreography, a dazzling visual scheme, splendid hand-to-hand combat",,positive
,Review 242,"There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.",,positive
,Review 243,It truly is a unique film to have a mostly all-Asian cast in a superhero movie.,,positive
,Review 244," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 245,"It features impressive visuals, engaging action scenes, and entertaining characters.",,positive
,Review 246,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 247,"Honestly, on all levels this movie excels",,positive
,Review 248,We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie,,positive
,Review 249,The humour and tone of these characters was great.,,positive
,Review 250,The special effects are excellent,,positive
,Review 251," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 252,Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.,,positive
,Review 253,The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography.,,positive
,Review 254,"movie has unique choreography, a dazzling visual scheme, splendid hand-to-hand combat",,positive
,Review 255,Shan Chi and the bunch have plenty of amazing things to overuse the computer effects that the modern era loves.,,positive
,Review 256,Shang-Chi and the Legend of the Ten Rings is the most mystical and beautiful movie in history,,positive
,Review 257,"It features impressive visuals, engaging action scenes, and entertaining characters.",,positive
,Review 258,"The production standards are typically high, with plenty of cute and dangerous beasties to suit and please all ages",,positive
,Review 259,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 260, I enjoyed this introduction to a new MCU superhero,,positive
,Review 261," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 262,"Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece",,positive
,Review 263,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 264,I loved how well their lines mixed together to make this melodramatic family story fit naturally into the Marvel universe.,,positive
,Review 265,We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie,,positive
,Review 266,Director did a great job in capturing the action and fight sequences. Even with the epic climax of the dragon battle.,,positive
,Review 267,"There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.",,positive
,Review 268,Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.,,positive
,Review 269,The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography.,,positive
,Review 270,"There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.",,positive
,Review 271," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 272,It truly is a unique film to have a mostly all-Asian cast in a superhero movie.,,positive
,Review 273,It has plenty of exposition scenes and fits so much in that it distracts from the main thing that makes this film great,,positive
,Review 274,Shan Chi and the bunch have plenty of amazing things to overuse the computer effects that the modern era loves.,,positive
,Review 275,"movie has unique choreography, a dazzling visual scheme, splendid hand-to-hand combat",,positive
,Review 276,The humour and tone of these characters was great.,,positive
,Review 277,Director did a great job in capturing the action and fight sequences. Even with the epic climax of the dragon battle.,,positive
,Review 278," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 279,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 280,It truly is a unique film to have a mostly all-Asian cast in a superhero movie.,,positive
,Review 281,Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.,,positive
,Review 282,"The production standards are typically high, with plenty of cute and dangerous beasties to suit and please all ages",,positive
,Review 283,The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography.,,positive
,Review 284,The special effects are excellent,,positive
,Review 285," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 286,"Honestly, on all levels this movie excels",,positive
,Review 287,Director did a great job in capturing the action and fight sequences. Even with the epic climax of the dragon battle.,,positive
,Review 288,"The choreography is matched in skill by the cinematography. Not only are we seeing incredible fighting, the camera is dynamic, celebrating and highlighting how incredible it is",,positive
,Review 289, I enjoyed this introduction to a new MCU superhero,,positive
,Review 290,I loved how well their lines mixed together to make this melodramatic family story fit naturally into the Marvel universe.,,positive
,Review 291,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,positive
,Review 292,It truly is a unique film to have a mostly all-Asian cast in a superhero movie.,,positive
,Review 293,Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.,,positive
,Review 294,It has plenty of exposition scenes and fits so much in that it distracts from the main thing that makes this film great,,positive
